id,price,room_type,property_type,neighbourhood_cleansed,neighbourhood_norm,accommodates,bedrooms,beds,bathrooms,minimum_nights,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,host_is_superhost,is_commercial_host,calculated_host_listings_count,host_tenure_years,instant_bookable,latitude,longitude,dist_city_center_km,amenities_count,has_wifi,has_kitchen,has_washer,has_pool,has_pets_allowed,has_free_parking,has_workspace,has_aircon
1144766883664330164,68.0,Private room,Private room in home,Dublin City,Unknown,2,1.0,0.0,1.0,2,44,1,0.06,5.0,False,1,6,1.3880903490759753,False,53.31741,-6.2882,4.0557299113937635,12,1,1,1,0,0,1,0,0
1144768807258414228,68.0,Private room,Private room in home,Dublin City,Unknown,2,1.0,0.0,3.0,2,238,1,0.21,2.0,False,1,6,1.3880903490759753,False,53.3179,-6.2903,4.07410545299004,12,1,1,1,0,0,1,0,0
1144884256200656731,750.0,Entire home/apt,Entire home,Dublin City,Unknown,4,2.0,0.0,1.0,2,163,0,0.0,,False,0,1,8.577686516084873,False,53.34066379999999,-6.2427063,1.5514067733502612,9,1,1,1,0,0,1,0,0
1145043082676210050,99.0,Private room,Private room in rental unit,Dublin City,Unknown,2,1.0,0.0,2.0,1,349,45,2.7,4.42,False,0,4,6.967830253251198,True,53.35828,-6.24098,1.5955122809996072,36,1,1,1,0,1,0,0,1
1145050247715305436,99.0,Private room,Private room in rental unit,Dublin City,Unknown,2,1.0,0.0,2.0,1,360,19,1.14,4.11,False,0,4,6.967830253251198,True,53.35672998752957,-6.242411563962267,1.4190448946697838,36,1,1,1,0,1,0,0,1
1145531452013095722,95.0,Private room,Private room in condo,Dublin City,Unknown,2,1.0,0.0,1.0,1,78,5,0.78,4.8,False,0,1,1.3826146475017111,False,53.34044,-6.28639,2.0259395389172803,33,1,1,1,0,0,0,0,0
1145542745983592893,79.0,Private room,Private room in home,Dublin City,Unknown,2,0.0,1.0,1.0,2,361,0,0.0,,False,0,2,9.596167008898014,False,53.31378595445494,-6.279643810087516,4.210177075378427,11,1,1,1,0,1,0,0,0
1146422133687881091,234.0,Private room,Private room in home,Dublin City,Unknown,4,2.0,2.0,2.0,1,267,0,0.0,,False,0,1,1.379876796714579,False,53.35494669949598,-6.238611924394397,1.553637060500007,13,1,1,1,0,0,1,1,0
1146847502899939024,100.0,Private room,Private room in home,Fingal,Unknown,2,1.0,1.0,1.0,1,267,0,0.0,,False,0,2,1.4784394250513346,False,53.37385,-6.39348,9.261604907890023,32,1,1,1,0,0,1,0,0
1147174109639582633,108.0,Entire home/apt,Entire rental unit,Dn Laoghaire-Rathdown,Unknown,2,1.0,0.0,1.0,2,258,0,0.0,,False,0,1,9.971252566735114,True,53.28508,-6.19856,8.295216864568236,8,1,1,1,0,0,1,1,0
1147730393512640184,340.0,Entire home/apt,Entire home,Dublin City,Dublin,5,3.0,3.0,3.0,1,320,21,1.35,4.67,False,0,1,,False,53.33093,-6.21367,3.7492949780472276,26,1,1,1,0,0,0,1,0
1147762524840527180,135.0,Private room,Private room in home,Fingal,Unknown,2,1.0,2.0,2.0,1,194,10,0.62,4.6,False,0,3,1.8562628336755647,False,53.453882,-6.2479947,11.612561572270849,16,1,0,0,0,0,1,0,0
1147835825608445338,109.0,Private room,Private room in home,Dublin City,Unknown,2,1.0,1.0,1.0,2,32,29,1.76,4.76,,0,1,10.390143737166325,True,53.35306,-6.29097,2.074316392370428,15,1,1,1,0,0,0,0,0
1148601843579280251,172.0,Entire home/apt,Entire place,Dublin City,Unknown,3,1.0,0.0,1.0,2,22,49,3.03,4.98,True,0,1,7.3757700205338805,False,53.39064629277835,-6.269254370572168,4.584821238834957,29,1,1,0,0,0,1,1,0
1148785232506108647,330.0,Entire home/apt,Entire home,Dublin City,Unknown,9,5.0,9.0,2.0,15,364,3,0.2,4.67,False,1,6,4.462696783025325,False,53.30719946106153,-6.29950013011694,5.412904734550808,33,1,1,1,0,0,1,0,0
1149079530321563929,150.0,Entire home/apt,Entire condo,Fingal,Unknown,2,1.0,1.0,1.0,2,106,28,1.83,4.96,True,0,1,13.00205338809035,False,53.37222,-6.06302,13.369000999791929,29,1,1,0,0,0,1,0,0
1149223718024254972,411.0,Private room,Private room in home,Dn Laoghaire-Rathdown,Unknown,10,4.0,4.0,2.0,1,269,12,0.74,4.5,False,0,4,12.881587953456537,False,53.2783,-6.13328,11.618482178783553,44,1,1,1,0,1,0,0,0
1150642176835163324,165.0,Entire home/apt,Entire rental unit,Dublin City,Unknown,4,1.0,2.0,1.0,4,245,39,2.42,4.92,True,0,2,9.295003422313483,True,53.34845,-6.2768,1.1090320497012405,30,1,1,1,0,0,1,0,0
1151263754838729374,196.0,Entire home/apt,Entire rental unit,Dublin City,Unknown,3,2.0,2.0,1.0,3,54,46,2.83,4.74,False,0,1,1.3607118412046544,True,53.35602,-6.25887,0.6987602843866495,27,1,1,1,0,0,0,0,0
